path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,-1,13.25,158.25,215.0,98.0,159.5,182.75,0.4637482900136799,182.75
A,0,-1,13.5,158.5,215.0,94.0,155.0,178.5,0.4733893557422969,178.5
A,0,-1,13.75,158.75,215.0,90.0,150.5,174.25,0.4835007173601148,174.25
A,0,-1,14.0,159.0,215.0,86.0,146.0,170.0,0.49411764705882355,170.0
A,0,-1,14.25,159.25,215.0,85.25,145.5,168.75,0.4948148148148148,168.75
A,0,-1,14.5,159.5,215.0,84.5,145.0,167.5,0.4955223880597015,167.5
A,0,-1,14.75,159.75,215.0,83.75,144.5,166.25,0.49624060150375937,166.25
A,0,-1,15.0,160.0,215.0,83.0,144.0,165.0,0.49696969696969695,165.0
A,0,0,0.0,145.0,216.0,125.0,182.0,201.0,0.3781094527363184,201.0
A,0,0,0.25,145.25,216.0,118.75,176.75,196.25,0.39490445859872614,196.25
A,0,0,0.5,145.5,216.0,112.5,171.5,191.5,0.412532637075718,191.5
A,0,0,0.75,145.75,216.0,106.25,166.25,186.75,0.43105756358768405,186.75
A,0,0,1.0,146.0,216.0,100.0,161.0,182.0,0.45054945054945056,182.0
A,0,0,1.25,146.25,216.0,99.75,161.75,183.0,0.45491803278688525,183.0
A,0,0,1.5,146.5,216.0,99.5,162.5,184.0,0.4592391304347826,184.0
A,0,0,1.75,146.75,216.0,99.25,163.25,185.0,0.4635135135135135,185.0
A,0,0,2.0,147.0,216.0,99.0,164.0,186.0,0.46774193548387094,186.0
A,0,0,2.25,147.25,216.0,99.25,164.25,186.25,0.4671140939597315,186.25
A,0,0,2.5,147.5,216.0,99.5,164.5,186.5,0.46648793565683644,186.5
A,0,0,2.75,147.75,216.0,99.75,164.75,186.75,0.46586345381526106,186.75
A,0,0,3.0,148.0,216.0,100.0,165.0,187.0,0.46524064171123,187.0
A,0,0,3.25,148.25,216.0,98.0,161.25,183.25,0.46521145975443384,183.25
A,0,0,3.5,148.5,216.0,96.0,157.5,179.5,0.46518105849582175,179.5
A,0,0,3.75,148.75,216.0,94.0,153.75,175.75,0.465149359886202,175.75
A,0,0,4.0,149.0,216.0,92.0,150.0,172.0,0.46511627906976744,172.0
A,0,0,4.25,149.25,216.0,91.0,147.5,169.25,0.4623338257016248,169.25
A,0,0,4.5,149.5,216.0,90.0,145.0,166.5,0.4594594594594595,166.5
A,0,0,4.75,149.75,216.0,89.0,142.5,163.75,0.45648854961832064,163.75
A,0,0,5.0,150.0,216.0,88.0,140.0,161.0,0.453416149068323,161.0
A,0,0,5.25,150.25,216.0,90.0,140.75,161.5,0.44272445820433437,161.5
A,0,0,5.5,150.5,216.0,92.0,141.5,162.0,0.43209876543209874,162.0
A,0,0,5.75,150.75,216.0,94.0,142.25,162.5,0.42153846153846153,162.5
A,0,0,6.0,151.0,216.0,96.0,143.0,163.0,0.4110429447852761,163.0
